url	email	technology	nuts
    https://offenedaten.aachen.de/organization/stadt-aachen			
    https://offenedaten.aachen.de/	offenedaten@mail.aachen.de	CKAN	
https://www.o-sp.de/altenberge/opendata			DEA37
    https://www.altenburg.eu/sixcms/detail.php?id=139875		Website	DEG0M
    https://opendata.schleswig-holstein.de/organization/amt-suederbrarup			
    https://daten.rlp.de/organization/stadt_andernach			DEB17
    http://offenedaten.arnsberg.de	pressestelle.kettler@arnsberg.de	Website	DEA57
https://www.o-sp.de/attendorn/opendata			DEA59
    https://opendata.schleswig-holstein.de/organization/awsh-abfallwirtschaft-sudholstein-gmbh			
    http://offenedaten.kdvz-frechen.de/group/bad-m%C3%BCnstereifel	offene-daten@kdvz-frechen.de	DKAN	DEA28
    http://offenedaten.kdvz-frechen.de/group/bedburg	offene-daten@kdvz-frechen.de	DKAN	DEA27
    http://offenedaten.kdvz-frechen.de/group/bergheim	offene-daten@kdvz-frechen.de	DKAN	DE21I
https://www.o-sp.de/bergkamen/opendata			DEA5C
https://open-data.bielefeld.de/	opendata@bielefeld.de	DKAN	DEA41
via Musterdatenkatalog Deutschland			DEA34
http://www.bochum.de/opendata	info@bochum.de	Website	DEA51
https://www.o-sp.de/boenen/opendata.php			DEA5C
    http://opendata.bonn.de/	opendata@bonn.de	DKAN	DEA22
    https://www.offenesdatenportal.de/organization/stadt-bottrop			DEA31
http://www.braunschweig.de/leben/stadtplanung_bauen/geoinformationen/opengeodata.html	opengeodata@braunschweig.de	Website	DE911
    https://daten.rlp.de/organization/vg_brohltal			
    http://offenedaten.kdvz-frechen.de/group/br%C3%BChl	offene-daten@kdvz-frechen.de	DKAN	
    https://daten.rlp.de/organization/og_burgbrohl			DEB12
http://portal-chemnitz.opendata.arcgis.com/		ArcGIS	DED41
    https://daten.rlp.de/organization/verbandsgemeinde_cochem			DEB1C
    https://daten.rlp.de/organization/og_dedenbach			DEB12
    https://daten.rlp.de/organization/verbandsgemeinde_dierdorf			DEB18
https://opendata.dormagen.de	opendata@stadt-dormagen.de	OpenDataSoft	DEA1D
    https://opendata.dortmund.de/	opendata@dortmund.de	Website	DEA52
    https://opendata.dresden.de	statistik@dresden.de	DUVA	DED21
https://opendata-duisburg.de/		DKAN	DEA12
https://www.o-sp.de/duelmen/opendata.php			DEA35
    https://opendata.duesseldorf.de/	opendata@duesseldorf.de	DKAN	DEA11
    https://daten.rlp.de/organization/verbandsgemeinde_eich			DEB3B
    http://offenedaten.kdvz-frechen.de/group/elsdorf	offene-daten@kdvz-frechen.de	DKAN	
    https://daten.rlp.de/organization/verbandsgemeinde_emmelshausen			DEB1D
https://www.emsdetten.de/bauen-wohnen-umwelt-verkehr/planen/bauleitplanung-online/open-data-im-bereich-bauleitplanung-in-emsdetten/			DEA37
https://www.o-sp.de/ennigerloh/opendata.php			DEA38
https://www.o-sp.de/erftstadt/opendata.php			DEA27
    https://daten.rlp.de/organization/ortsgemeinde_erzenhausen			DEB3F
https://opendata.essen.de/	opendata@essen.de	DKAN	DEA13
    https://daten.rlp.de/organization/ortsgemeinde_eulenbis			DEB3F
https://www.o-sp.de/euskirchen/opendata.php			DEA28
https://www.o-sp.de/everswinkel/opendata			DEA38
    http://offenedaten.frankfurt.de/	offene.daten@stadt-frankfurt.de	CKAN	DE712
